,GALAUSDT,MASKUSDT,Spread,Zscore
46,0.05021,1.447,0.0068000000000000005,0.09889750421351666
47,0.05032,1.448,0.006879999999999997,0.4074453896720778
48,0.0504,1.458,0.006660000000000006,-0.48002968170652066
49,0.05033,1.456,0.006650000000000003,-0.6197470614134584
50,0.05076,1.47,0.006659999999999999,-0.672631621843818
51,0.05027,1.465,0.006319999999999999,-1.9938597296076426
52,0.04998,1.46,0.006179999999999998,-2.131640143695851
53,0.04998,1.45,0.00648,-0.9521846149928546
54,0.05,1.455,0.0063500000000000015,-1.2818246567553828
55,0.04977,1.434,0.006750000000000006,0.10902575601224615
56,0.05017,1.445,0.00682,0.3614092149497807
57,0.05065,1.447,0.007240000000000003,1.697267712369357
58,0.05028,1.441,0.007050000000000001,1.0833103819517746
59,0.04999,1.431,0.007059999999999997,1.2160677619859341
60,0.05028,1.445,0.006929999999999999,0.8786543513039053
61,0.04941,1.436,0.006330000000000009,-1.3009012132797813
62,0.04948,1.438,0.006340000000000005,-1.1642976118763668
63,0.04926,1.428,0.006420000000000002,-0.8655008696545897
64,0.04865,1.415,0.006199999999999997,-1.4871632703842834
65,0.04884,1.423,0.006150000000000003,-1.483623493847623
66,0.04909,1.431,0.006159999999999999,-1.3049364213591632
67,0.04865,1.423,0.00596,-1.669716000792056
68,0.04926,1.434,0.0062400000000000025,-0.7986469714334221
69,0.04986,1.453,0.006269999999999998,-0.6559709348579479
70,0.04955,1.441,0.006319999999999999,-0.4702349774758425
71,0.0501,1.45,0.006600000000000002,0.32666841140338987
72,0.05016,1.449,0.0066900000000000015,0.5300746227726539
73,0.04953,1.435,0.00648,-0.10423657329245865
74,0.04932,1.428,0.006480000000000007,-0.10423657329243866
75,0.04971,1.435,0.006659999999999999,0.3725764416091486
76,0.04964,1.431,0.006709999999999994,0.5241825601296994
77,0.04978,1.441,0.00655,0.09979227767084975
78,0.04938,1.425,0.006630000000000004,0.48061262171662583
79,0.04959,1.43,0.0066900000000000084,0.8073190646695184
80,0.04917,1.439,0.005999999999999998,-1.6426701389858611
81,0.04869,1.418,0.006150000000000003,-0.9965170384593857
82,0.04944,1.428,0.006600000000000002,0.8619266631870037
83,0.04938,1.422,0.006720000000000004,1.2394915144546081
84,0.04904,1.417,0.006530000000000001,0.4480036740575495
85,0.04923,1.419,0.006660000000000006,0.8824493112290717
86,0.04933,1.422,0.006670000000000002,0.8383423437974472
87,0.04921,1.423,0.006519999999999998,0.16064338419397492
88,0.04897,1.416,0.006490000000000003,-0.08751837193629942
89,0.04927,1.423,0.0065800000000000025,0.2923782488915587
90,0.0495,1.419,0.006930000000000006,1.8524853282274771
91,0.04895,1.407,0.006740000000000003,0.8295723536487223
92,0.04867,1.396,0.006790000000000004,1.0081645963066017
93,0.04853,1.396,0.006650000000000003,0.33277570862583494
94,0.04868,1.398,0.006740000000000003,0.709990570525386
95,0.04833,1.398,0.00639,-0.9638193521492833
96,0.04859,1.404,0.0064700000000000035,-0.5332618158342141
97,0.04851,1.405,0.006359999999999998,-0.9652977359336562
98,0.04859,1.401,0.006560000000000003,-0.024696407442333538
99,0.04855,1.404,0.006430000000000005,-0.5887387485102658
100,0.04881,1.408,0.006570000000000006,0.09462851383266875
101,0.04863,1.399,0.006659999999999999,0.4604921538646851
102,0.04877,1.403,0.0066799999999999984,0.5234980105355216
103,0.04874,1.401,0.006710000000000001,0.6914601186252631
104,0.04867,1.407,0.0064600000000000005,-0.9736513935507843
105,0.04899,1.413,0.006600000000000002,-0.020062390735703987
106,0.04923,1.419,0.006660000000000006,0.40124781471396403
107,0.0493,1.42,0.006699999999999998,0.6680786960603757
108,0.04929,1.417,0.006780000000000001,1.1125450416675386
109,0.04924,1.425,0.006490000000000003,-0.8627900323136058
110,0.04964,1.432,0.0066799999999999984,0.3979494866789455
111,0.04982,1.44,0.006620000000000008,0.10325890618243973
112,0.05085,1.463,0.006960000000000001,2.3162095876535944
113,0.05141,1.465,0.007459999999999994,3.4620364991915475
114,0.05118,1.476,0.006900000000000003,0.9937136486775361
115,0.05047,1.459,0.006699999999999998,0.1705919113964017
116,0.05076,1.463,0.006870000000000001,0.7970839175069304
117,0.05077,1.461,0.006940000000000002,0.9938965566429561
118,0.05092,1.468,0.006880000000000004,0.666997518356222
119,0.05063,1.452,0.007070000000000007,1.350475836640214
120,0.04999,1.436,0.006910000000000006,0.5958295494249249
121,0.0506,1.448,0.00716,1.518902715800449
122,0.0507,1.453,0.007109999999999998,1.1804757923643348
123,0.05044,1.447,0.0070300000000000015,0.7741951530157686
124,0.05068,1.455,0.0070300000000000015,0.7074719649614083
125,0.05112,1.469,0.007050000000000001,0.7170992105031923
126,0.05086,1.457,0.007150000000000004,1.0524869812506952
127,0.05084,1.466,0.006860000000000005,-0.2802566987067949
128,0.05085,1.477,0.006539999999999997,-1.6267237884715842
129,0.05075,1.469,0.006680000000000005,-0.9800623824152386
130,0.05022,1.455,0.0065699999999999995,-1.5097624538960488
